Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
HOLLY wOUD & VINE A Wing & A Prayer Perfumesfor women and men,for women and men,4.5,2,"['citrus', 'green', 'aromatic', 'fresh spicy', 'fresh', 'white floral', 'oud', 'woody', 'ozonic', 'yellow floral']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/HOLLY-wOUD-VINE-36062.html
Napa A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['herbal', 'lavender', 'aromatic', 'floral', 'fresh spicy']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Napa-36116.html
Orange County A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['vanilla', 'citrus', 'sweet', 'powdery']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Orange-County-36117.html
Tahoe A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['woody', 'warm spicy', 'powdery', 'balsamic', 'amber']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Tahoe-36118.html
Azure Perfume A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'green', 'fresh spicy', 'aromatic', 'herbal']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Azure-Perfume-36332.html
CHANG'E Perfume A Wing & A Prayer Perfumesfor women,for women,4.5,2,"['fruity', 'floral', 'woody', 'amber', 'powdery', 'lactonic', 'citrus', 'white floral', 'sweet', 'fresh']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/CHANG-E-Perfume-36420.html
Dusk A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['earthy', 'citrus', 'mossy', 'woody', 'aromatic', 'sweet']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Dusk-36418.html
Jade A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['fresh spicy', 'floral', 'aromatic', 'lavender', 'white floral', 'citrus', 'yellow floral', 'sweet', 'green', 'herbal']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Jade-36754.html
La Isla del Sol A Wing & A Prayer Perfumesfor women and men,for women and men,2,1,"['citrus', 'amber', 'white floral', 'fresh spicy', 'animalic', 'sweet', 'aromatic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/La-Isla-del-Sol-36755.html
Morning Mist A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['amber', 'floral']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Morning-Mist-36758.html
