Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Addiction Franck Bocletfor women,for women,3.64,125,"['white floral', 'green', 'tuberose', 'balsamic', 'woody', 'aromatic', 'amber', 'yellow floral', 'sweet', 'fresh spicy']",['Bruno Herve'],"AddictionbyFranck Bocletis a Floral Woody Musk fragrance for women.Addictionwas launched in 2021. The nose behind this fragrance is Bruno Herve. Top notes are Galbanum, Basil, Bergamot and Mint; middle notes are Tuberose, Ylang-Ylang, Orange Blossom and Jasmine; base notes are Peru Balsam, Vanilla, Ambroxan, Sandalwood, Musk and Cedar.",https://www.fragrantica.com/perfume/Franck-Boclet/Addiction-67374.html
Enjoy Franck Bocletfor women,for women,3.21,56,"['fresh spicy', 'citrus', 'rose', 'aromatic', 'warm spicy', 'floral', 'amber']",['Bruno Herve'],"EnjoybyFranck Bocletis a Floral fragrance for women.Enjoywas launched in 2021. The nose behind this fragrance is Bruno Herve. Top notes are Bergamot, Lemon and Orange; middle notes are Nutmeg, Rose, Geranium, Pepper, Violet, Cinnamon and Jasmine; base notes are Incense, Ambroxan and White Musk.",https://www.fragrantica.com/perfume/Franck-Boclet/Enjoy-67373.html
Nirvana Franck Bocletfor women,for women,3.64,199,"['woody', 'fruity', 'citrus', 'tropical', 'sweet', 'fresh spicy', 'aromatic', 'amber', 'powdery', 'warm spicy']",['Bruno Herve'],"NirvanabyFranck Bocletis a Amber fragrance for women.Nirvanawas launched in 2021. The nose behind this fragrance is Bruno Herve. Top notes are Basil, Lemon, Bergamot and Orange; middle notes are Mango, Grapefruit, Dried Plum, Plum and Jasmine; base notes are Cedar, Sandalwood, Benzoin, Amber, Patchouli, Musk and Civet.",https://www.fragrantica.com/perfume/Franck-Boclet/Nirvana-67375.html
Crime Franck Bocletfor women and men,for women and men,3.63,153,"['vanilla', 'oud', 'chocolate', 'warm spicy', 'leather', 'powdery', 'sweet', 'amber', 'animalic', 'woody']",['Bruno Herve'],"CrimebyFranck Bocletis a fragrance for women and men.Crimewas launched in 2018. The nose behind this fragrance is Bruno Herve. Top note is Dark Chocolate; middle notes are Agarwood (Oud), Leather, Tonka Bean and Heliotrope; base notes are Agarwood (Oud), Amber, Sandalwood and Cedar.",https://www.fragrantica.com/perfume/Franck-Boclet/Crime-49358.html
Erotic Franck Bocletfor women and men,for women and men,3.87,352,"['amber', 'woody', 'leather', 'smoky', 'musky', 'animalic', 'vanilla', 'balsamic', 'powdery', 'warm spicy']",['Bruno Herve'],"EroticbyFranck Bocletis a fragrance for women and men.Eroticwas launched in 2018. The nose behind this fragrance is Bruno Herve. Top notes are Rosemary, Lemon, Basil and Bergamot; middle notes are Benzoin, Heliotrope, Cardamom, Tuberose, Patchouli, Lavender and Oakmoss; base notes are Castoreum, Vanilla, Opoponax, Amber, Leather, Incense, Civet, Labdanum, Sandalwood, Musk and Cedar.",https://www.fragrantica.com/perfume/Franck-Boclet/Erotic-49356.html
Icon Franck Bocletfor women and men,for women and men,3.34,131,"['powdery', 'citrus', 'fruity', 'floral', 'violet', 'vanilla', 'sweet', 'musky', 'warm spicy', 'iris']",['Bruno Herve'],"IconbyFranck Bocletis a fragrance for women and men.Iconwas launched in 2018. The nose behind this fragrance is Bruno Herve. Top notes are Grapefruit and Lime; middle notes are Exotic Fruits, Violet, Iris and Rose; base notes are Vanilla, Musk and Carnation.",https://www.fragrantica.com/perfume/Franck-Boclet/Icon-49355.html
Angie Franck Bocletfor women and men,for women and men,3.71,317,"['woody', 'sweet', 'floral', 'powdery', 'green', 'fruity', 'vanilla', 'fresh', 'musky', 'amber']",[],"AngiebyFranck Bocletis a Aromatic Fruity fragrance for women and men.Angiewas launched in 2016. Top notes are Fig, Fig Nectar and Fig Leaf; middle notes are Sandalwood, Hawthorn, Floral Notes and Virginia Cedar; base notes are Vanilla, Musk and Amber.",https://www.fragrantica.com/perfume/Franck-Boclet/Angie-38128.html
Ashes Franck Bocletfor women and men,for women and men,4.08,197,"['woody', 'amber', 'warm spicy', 'smoky', 'aromatic', 'balsamic']",[],"AshesbyFranck Bocletis a Aromatic Spicy fragrance for women and men.Asheswas launched in 2016. Top notes are Wormwood and Cloves; middle notes are Atlas Cedar, Virginia Cedar, Guaiac Wood and Patchouli; base notes are Incense, Woody Notes, Amber and Musk.",https://www.fragrantica.com/perfume/Franck-Boclet/Ashes-38129.html
Chameleon Franck Bocletfor women and men,for women and men,3.77,84,"['white floral', 'citrus', 'tuberose', 'almond', 'green', 'musky', 'woody', 'aromatic', 'animalic', 'powdery']",[],"ChameleonbyFranck Bocletis a Amber Floral fragrance for women and men. This is a new fragrance.Chameleonwas launched in 2023. Top notes are Petitgrain, Bergamot, Grapefruit and Mandarin Orange; middle notes are Tuberose, Egyptian Jasmine and Rose; base notes are Almond, Musk and Sandal.",https://www.fragrantica.com/perfume/Franck-Boclet/Chameleon-85389.html
Cocaïne Franck Bocletfor women and men,for women and men,3.21,"2,800","['white floral', 'tuberose', 'sweet', 'caramel', 'tropical', 'animalic', 'vanilla', 'tobacco']",[],"CocaïnebyFranck Bocletis a Aromatic fragrance for women and men.Cocaïnewas launched in 2017. Top notes are Caramel, Tobacco, Bitter Orange and Red Berries; middle notes are Tuberose, Lily and Orchid; base notes are Monoi Oil, Vanilla and Patchouli.",https://www.fragrantica.com/perfume/Franck-Boclet/Cocaine-44128.html
