Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url;;
Cheeky Chypre EAU.MGfor women and men,for women and men,4.00,4,"['amber', 'rose', 'warm spicy', 'citrus', 'woody', 'floral', 'fresh spicy', 'aromatic', 'balsamic', 'fresh']",[],"Cheeky ChyprebyEAU.MGis a Chypre fragrance for women and men. This is a new fragrance.Cheeky Chyprewas launched in 2023. Top notes are Lemon, Mandarin Orange and Rhubarb; middle notes are Rose, Olibanum and Peony; base notes are Saffron, Sandalwood, Patchouli, Cedarwood, Benzoin and Labdanum.",https://www.fragrantica.com/perfume/EAU-MG/Cheeky-Chypre-84341.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/EAU-MG/Diaphanous-Delight-84338.html
Flor Funk EAU.MGfor women and men,for women and men,3.75,4,"['woody', 'mossy', 'powdery', 'earthy', 'aquatic', 'musky', 'white floral', 'ozonic', 'sweet', 'warm spicy']",[],"Flor FunkbyEAU.MGis a Floral fragrance for women and men. This is a new fragrance.Flor Funkwas launched in 2023. Top notes are Violet Leaf and Pear; middle note is Orange Blossom; base notes are Sandalwood, Moss and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Flor-Funk-84342.html
Frangi Frenzy EAU.MGfor women and men,for women and men,3.25,4,"['sweet', 'almond', 'cherry', 'rose', 'patchouli', 'musky', 'soft spicy', 'nutty', 'warm spicy', 'vanilla']",[],"Frangi FrenzybyEAU.MGis a Floral fragrance for women and men. This is a new fragrance.Frangi Frenzywas launched in 2023. Top notes are Almond and Cherry; middle notes are Rose and Licorice; base notes are Tonka Bean, Patchouli and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Frangi-Frenzy-84340.html
Greedy Gourmand EAU.MGfor women and men,for women and men,4.14,7,"['fruity', 'sweet', 'woody', 'powdery', 'floral', 'musky', 'rose', 'citrus', 'vanilla', 'patchouli']",[],"Greedy GourmandbyEAU.MGis a Floral Fruity fragrance for women and men. This is a new fragrance.Greedy Gourmandwas launched in 2023. Top notes are Clementine, Raspberry and Pink Pepper; middle notes are Cherry Blossom, Apricot and Rose; base notes are Sandalwood, Patchouli, Vanilla and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Greedy-Gourmand-84331.html
Midnight Musk EAU.MGfor women and men,for women and men,3.67,3,"['patchouli', 'yellow floral', 'woody', 'white floral', 'rose', 'amber', 'musky', 'sweet', 'green', 'powdery']",[],"Midnight MuskbyEAU.MGis a Amber Floral fragrance for women and men. This is a new fragrance.Midnight Muskwas launched in 2023. Top notes are Ylang-Ylang and Rhubarb; middle notes are Jasmine and Rose; base notes are Patchouli, Amber and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Midnight-Musk-84333.html
Rockin Rose EAU.MGfor women and men,for women and men,3.83,6,"['aquatic', 'ozonic', 'fresh', 'fruity', 'sweet', 'rose', 'woody', 'white floral', 'powdery', 'musky']",[],"Rockin RosebyEAU.MGis a Woody Floral Musk fragrance for women and men. This is a new fragrance.Rockin Rosewas launched in 2023. Top notes are Melon, Violet Leaf and Pear; middle notes are Sea Notes, Rose and Lily of the Valley; base notes are Sandalwood and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Rockin-Rose-84335.html
Rubus Rose EAU.MGfor women and men,for women and men,3.00,2,"['woody', 'powdery', 'warm spicy', 'rose', 'fruity', 'musky', 'sweet']",[],"Rubus RosebyEAU.MGis a Floral fragrance for women and men. This is a new fragrance.Rubus Rosewas launched in 2023. Top note is Raspberry; middle notes are Saffron and Rose; base notes are Guaiac Wood, Sandalwood, Cedarwood and Musk.",https://www.fragrantica.com/perfume/EAU-MG/Rubus-Rose-84344.html
Bleu Azur Eau Jeunefor women,for women,4.17,6,"['woody', 'citrus', 'fruity', 'fresh spicy', 'floral', 'aromatic', 'powdery', 'amber', 'white floral', 'sweet']",[],Bleu AzurbyEau Jeuneis a Floral Fruity fragrance for women.Bleu Azurwas launched in 2008. Top notes are Red Apple and Bergamot; middle notes are Hibiscus and Jasmine; base notes are Cedar and Amber.,https://www.fragrantica.com/perfume/Eau-Jeune/Bleu-Azur-3587.html
Boheme Eau Jeunefor women,for women,4.29,51,"['citrus', 'white floral', 'fruity', 'fresh spicy', 'rose', 'floral', 'powdery', 'sweet', 'aromatic', 'woody']",[],BohemebyEau Jeuneis a Floral Fruity fragrance for women.Bohemewas launched in 1995.,https://www.fragrantica.com/perfume/Eau-Jeune/Boheme-11306.html
Delice de Pomme Eau Jeunefor women,for women,5.00,1,"['white floral', 'caramel', 'citrus', 'vanilla', 'fruity', 'fresh spicy', 'fresh', 'sweet', 'green', 'powdery']",[],Delice de PommebyEau Jeuneis a Floral Fruity Gourmand fragrance for women.Delice de Pommewas launched in 2007. Top notes are Green Apple and Bergamot; middle note is Jasmine; base notes are Caramel and Vanilla.,https://www.fragrantica.com/perfume/Eau-Jeune/Delice-de-Pomme-4184.html
Eau Future Eau Jeunefor women,for women,4.38,48,"['aquatic', 'fruity', 'white floral', 'fresh', 'powdery', 'sweet', 'citrus', 'musky', 'tropical', 'amber']",[],"Eau FuturebyEau Jeuneis a Floral Fruity fragrance for women.Eau Futurewas launched in 1997. Top notes are Water Notes, Passionfruit, Fruity Notes and Bergamot; middle notes are Jasmine and Lily; base notes are Musk, Heliotrope and Amber.",https://www.fragrantica.com/perfume/Eau-Jeune/Eau-Future-11307.html
Eau Jeune Bellissima Eau Jeunefor women,for women,3.81,16,"['fresh', 'floral', 'fruity', 'musky', 'white floral', 'tropical', 'powdery', 'rose', 'fresh spicy', 'iris']",['Beatrice Piquet'],"Eau Jeune BellissimabyEau Jeuneis a Floral Fruity fragrance for women.Eau Jeune Bellissimawas launched in 2007. The nose behind this fragrance is Beatrice Piquet. Top notes are Litchi and Mandarin Orange; middle notes are Peony, Lily and Pepper; base notes are Musk and White Iris.",https://www.fragrantica.com/perfume/Eau-Jeune/Eau-Jeune-Bellissima-4182.html
Eau Jeune Possesion Eau Jeunefor women,for women,3.79,33,"['floral', 'vanilla', 'almond', 'sweet', 'powdery', 'fruity', 'nutty', 'woody', 'musky', 'aquatic']","['Beatrice Piquet', 'Nathalie Lorson']",Eau Jeune PossesionbyEau Jeuneis a Amber Vanilla fragrance for women.Eau Jeune Possesionwas launched in 2000. Eau Jeune Possesion was created by Nathalie Lorson and Beatrice Piquet.,https://www.fragrantica.com/perfume/Eau-Jeune/Eau-Jeune-Possesion-4186.html
Eau Jeune Rock'n Love Eau Jeunefor women,for women,4.00,16,"['sweet', 'chocolate', 'caramel', 'honey', 'aromatic', 'white floral', 'citrus', 'soft spicy', 'warm spicy', 'green']",[],"Eau Jeune Rock'n LovebyEau Jeuneis a Floral Fruity Gourmand fragrance for women.Eau Jeune Rock'n Lovewas launched in 2004. Top notes are Cassia and Lemon; middle note is Lily; base notes are Dark Chocolate, Caramel and Honey.",https://www.fragrantica.com/perfume/Eau-Jeune/Eau-Jeune-Rock-n-Love-4188.html
Eau Jeune Viva Passion Eau Jeunefor women,for women,3.85,20,"['floral', 'fresh', 'sweet', 'fruity', 'citrus', 'white floral', 'woody', 'rose', 'musky', 'green']",['Anne Flipo'],Eau Jeune Viva PassionbyEau Jeuneis a Floral fragrance for women.Eau Jeune Viva Passionwas launched in 2005. The nose behind this fragrance is Anne Flipo.,https://www.fragrantica.com/perfume/Eau-Jeune/Eau-Jeune-Viva-Passion-4189.html
Emprise Eau Jeunefor women,for women,3.62,8,"['citrus', 'fruity', 'woody', 'patchouli', 'floral', 'amber', 'warm spicy', 'sweet', 'fresh spicy']",[],"EmprisebyEau Jeuneis a Amber Floral fragrance for women.Emprisewas launched in 2010. Top notes are Bergamot, Mandarin Orange and Blueberry; middle notes are Patchouli and Freesia; base notes are Virginia Cedar and Amber.",https://www.fragrantica.com/perfume/Eau-Jeune/Emprise-11308.html
Essentiel Eau Jeunefor women,for women,4.20,5,"['powdery', 'violet', 'rose', 'vanilla', 'floral', 'woody', 'iris', 'musky', 'sweet']","['Natalie Gracia-Cetto', 'Olivier Pescheux']","EssentielbyEau Jeuneis a Floral Woody Musk fragrance for women.Essentielwas launched in 2001. Essentiel was created by Natalie Gracia-Cetto and Olivier Pescheux. Top notes are Violet and Cassis; middle notes are Rose, Iris and Ylang-Ylang; base notes are Vanille, Musk and Woodsy Notes.",https://www.fragrantica.com/perfume/Eau-Jeune/Essentiel-11056.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/Eau-Jeune/Fleur-a-Fleur-33457.html
Garconne Eau Jeunefor women and men,for women and men,4.06,31,"['white floral', 'citrus', 'woody', 'powdery', 'fresh spicy', 'aromatic', 'floral', 'warm spicy']",[],GarconnebyEau Jeuneis a Amber Floral fragrance for women and men.Garconnewas launched in 1990.,https://www.fragrantica.com/perfume/Eau-Jeune/Garconne-33455.html
