name,brand,type,rating_value,rating_count,gender,country,year,segment,perfumers,families,top_notes,middle_notes,bottom_notes,users_notes,url
Voyage d'Tabac,West Third Brand,Туалетная вода,"0,0",N/A,Натуральная парфюмерия,united-states,N/A,natural-perfumes,[],['aromatic'],[],"['ambra', 'tonka-bean', 'boby', 'pachuli', 'tabak', 'vanil']",[],[],https://aromo.ru/fragrance/west-third-brand-smell-good-daily-_-voyage-d_tabac-88795/
Souk,Essentially Me,Парфюмерная вода,"0,0",N/A,Парфюмерная вода,N/A,N/A,N/A,[],"['floral', 'east']","['iris', 'neroli', 'rose', 'jasmine']","['citruses', 'opopanax', 'spices', 'green-notes']",[],[],https://aromo.ru/fragrance/essentially-me-souk-89342/
For Me,Roccobarocco,Парфюмерная вода,"0,0",N/A,с 2019,N/A,N/A,N/A,[],['floral'],['bitter-orange'],"['cyclamen', 'iris', 'narciss', 'tuberoza', 'jasmine']","['ambra', 'musk', 'sandal']",[],https://aromo.ru/fragrance/roccobarocco-roccobarocco-for-me-perfume-water-eau-de-parfum-2140859/
Sunrayz,Anu Essentials,Духи / Экстракт,"0,0",N/A,с 2000,N/A,N/A,N/A,[],"['fruit', 'floral']",[],"['white-flowers', 'fruity-notes', 'clementine', 'mandarin', 'musk', 'neroli']",[],[],https://aromo.ru/fragrance/anu-essentials-sunrayz-90736/
Ugo pour Homme,Ugo Vanelli,Туалетная вода,"5,0",1 оценка,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/ugo-vanelli-ugo-pour-homme-toilet-water-eau-de-toilette-94093/
Vermiglio,Essenzialmente Laura,Парфюмерная вода,"0,0",N/A,Парфюмерная вода,N/A,N/A,N/A,[],"['chypre', 'fruit']",[],"['musk', 'pink-grapefruit', 'vanil']",[],[],https://aromo.ru/fragrance/essenzialmente-laura-vermiglio-95475/
Virtual Man,Sapil,Туалетная вода,"2,0",1 оценка,с 2012,N/A,N/A,N/A,[],['citrus'],['voda'],['spices'],['drevesnyje-noty'],[],https://aromo.ru/fragrance/sapil-virtual-man-96319/
Wall Street,Berendsohn,Духи / Экстракт,"0,0",N/A,Духи / Экстракт,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/berendsohn-wall-street-96685/
White Heliotrope,Richard Hudnut,,"0,0",N/A,с 1895,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/richard-hudnut-white-heliotrope-97145/
Primavera,Phebo,,"0,0",N/A,с 2014,N/A,N/A,N/A,[],"['green', 'floral']","['bergamot', 'black-currant', 'pink-pepper']","['apelsinovyj-cvet-flerdoranzh', 'lily-of-the-valley', 'jasmine', 'lily']","['white-cedar', 'musk']",[],https://aromo.ru/fragrance/phebo-primavera-380671/
Cèdre Divin,Les Parfums du Soleil,Туалетная вода,"0,0",N/A,Нишевая парфюмерия,morocco,N/A,niche,[],['wood'],[],"['atlas-cedar', 'white-musk', 'ladan']",[],[],https://aromo.ru/fragrance/les-parfums-du-soleil-c_dre-divin-549857/
Adore,Majid Muzaffar Iterji,Парфюмерная вода,"3,0",2 оценки,с 2012,N/A,N/A,N/A,[],"['fruit', 'floral']","['bergamot', 'dyna', 'mandarin']","['white-flowers', 'magnolija', 'rose']","['musk', 'pink-pepper', 'sliva']",[],https://aromo.ru/fragrance/majid-muzaffar-iteri-adore-perfume-water-eau-de-parfum-557277/
Vetiver Oud,Angelo Caroli,Парфюмерная вода,"0,0",N/A,Нишевая парфюмерия,italy,2014,niche,[],['wood'],"['kedr', 'pink-grapefruit']","['iris', 'mozhzhevelnik-plody', 'timjan', 'vetiver']","['white-musk', 'teak-wood', 'oud', 'vetiver']",[],https://aromo.ru/fragrance/angelo-caroli-vetiver-oud-583423/
Tihama Mubarak,Swiss Arabian,Масляные духи,"3,0",1 оценка,Масляные духи,N/A,N/A,N/A,[],"['spicy', 'wood', 'east']","['fruity-notes', 'sahar']","['kozha', 'oud']","['drevesnyje-noty', 'oud']",[],https://aromo.ru/fragrance/swiss-arabian-tihama-mubarak-perfume-oil-perfume-oil-614535/
Aquamarine,CocoaPink,,"3,0",1 оценка,с 2017,N/A,N/A,N/A,[],"['water', 'fern']",[],"['gibiskus', 'iris', 'kokosovoe-molochko', 'morskije-noty', 'sand', 'voda']",[],[],https://aromo.ru/fragrance/cocoapink-aquamarine-687773/
Dark Lavender,The Sage Goddess,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],['floral'],[],['lavender'],[],[],https://aromo.ru/fragrance/the-sage-goddess-dark-lavender-699117/
Tangerine Kiss,Fresh Scents by Terri,Парфюмерная вода,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],"['citrus', 'water']",[],"['arbuz', 'lime', 'ogurec', 'tangerine']",[],[],https://aromo.ru/fragrance/fresh-scents-by-terri-tangerine-kiss-707843/
