Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Debaser Pocket Perfume DS&Durgafor women and men,for women and men,4.78,9,"['coconut', 'green', 'vanilla', 'iris', 'woody', 'earthy', 'sweet', 'powdery', 'lactonic', 'mossy']",[],"Debaser Pocket PerfumebyDS&Durgais a Aromatic Fruity fragrance for women and men.Debaser Pocket Perfumewas launched in 2016. Top notes are Green Leaves, Bergamot and Pear; middle notes are Coconut Milk and Iris; base notes are Tonka Bean, White Wood and Moss.",https://www.fragrantica.com/perfume/DS-Durga/Debaser-Pocket-Perfume-71949.html
Deep Dark Vanilla DS&Durgafor women and men,for women and men,3.08,160,"['green', 'vanilla', 'woody', 'fresh spicy', 'sweet', 'herbal', 'aromatic', 'powdery', 'floral']",['David Seth Moltz'],"Deep Dark VanillabyDS&Durgais a Amber Vanilla fragrance for women and men. This is a new fragrance.Deep Dark Vanillawas launched in 2023. The nose behind this fragrance is David Seth Moltz. Top notes are Cabreuva, Orchid and Pink Pepper; middle notes are Cypress, Vanilla Leaves and Vine; base notes are Dark Patchouli, Vanilla Absolute and Hay.",https://www.fragrantica.com/perfume/DS-Durga/Deep-Dark-Vanilla-84717.html
Desert Paintbrush DS&Durgafor women and men,for women and men,3.9,10,"['sand', 'mineral', 'woody', 'powdery', 'fresh spicy', 'aromatic', 'iris', 'floral']",['David Seth Moltz'],"Desert PaintbrushbyDS&Durgais a fragrance for women and men.Desert Paintbrushwas launched in 2021. The nose behind this fragrance is David Seth Moltz. Top notes are Cedar, Hyacinth and Gardenia; middle notes are Spray Paint, Powdery Notes and Bubble Gum; base notes are Sand, Iris and Juniper.",https://www.fragrantica.com/perfume/DS-Durga/Desert-Paintbrush-68883.html
DS&Durga x Todd Snyder Young Dunes DS&Durgafor women and men,for women and men,4.0,16,"['citrus', 'herbal', 'powdery', 'aromatic', 'iris', 'musky', 'leather', 'fresh', 'violet', 'fresh spicy']",['David Seth Moltz'],"DS&Durga x Todd Snyder Young DunesbyDS&Durgais a Woody Floral Musk fragrance for women and men. This is a new fragrance.DS&Durga x Todd Snyder Young Duneswas launched in 2023. The nose behind this fragrance is David Seth Moltz. Top notes are Citruses, Lemon Verbena and Beachheather; middle notes are Iris, Sage and Lavender; base notes are Suede, Ammophila (beach grass) and Musk.",https://www.fragrantica.com/perfume/DS-Durga/DS-Durga-x-Todd-Snyder-Young-Dunes-79246.html
Durga DS&Durgafor women,for women,3.83,233,"['white floral', 'tuberose', 'herbal', 'ozonic', 'iris', 'powdery', 'aquatic', 'sweet', 'fresh', 'musky']",['David Seth Moltz'],"DurgabyDS&Durgais a Floral Green fragrance for women.Durgawas launched in 2017. The nose behind this fragrance is David Seth Moltz. Top notes are Melon, Tuberose and Chrysanthemum; middle notes are Orris, Ylang-Ylang and Orange Blossom; base notes are Tuberose, Jasmine Sambac and Musk.",https://www.fragrantica.com/perfume/DS-Durga/Durga-43398.html
Duzina Rozi DS&Durgafor women and men,for women and men,3.11,9,"['amber', 'woody', 'citrus', 'rose', 'powdery', 'warm spicy', 'fresh spicy', 'balsamic', 'floral', 'aromatic']",['David Seth Moltz'],"Duzina RozibyDS&Durgais a fragrance for women and men.Duzina Roziwas launched in 2020. The nose behind this fragrance is David Seth Moltz. Top note is Bergamot; middle notes are Bulgarian Rose and Rose; base notes are Sandalwood, Amber, Incense and Musk.",https://www.fragrantica.com/perfume/DS-Durga/Duzina-Rozi-59319.html
Dylan DS&Durgafor women and men,for women and men,3.4,10,"['wine', 'leather', 'rose', 'floral', 'fresh spicy', 'warm spicy', 'sand', 'green', 'aromatic', 'animalic']",['David Seth Moltz'],"DylanbyDS&Durgais a Amber Floral fragrance for women and men.Dylanwas launched in 2021. The nose behind this fragrance is David Seth Moltz. Top notes are Red Wine, Red Chilli Pepper and Thyme; middle notes are Hyacinth and Rose; base notes are Leather and Sand.",https://www.fragrantica.com/perfume/DS-Durga/Dylan-70980.html
East Mid East DS&Durgafor women,for women,5.0,6,"['warm spicy', 'citrus', 'rose', 'metallic', 'leather', 'aromatic']",['David Seth Moltz'],East Mid EastbyDS&Durgais a Amber Spicy fragrance for women. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/East-Mid-East-9179.html
El Cosmico DS&Durgafor women and men,for women and men,3.52,353,"['aromatic', 'woody', 'green', 'sand', 'smoky', 'fresh spicy', 'conifer']","['David Seth Moltz', 'Kavi Moltz']","El CosmicobyDS&Durgais a Woody fragrance for women and men.El Cosmicowas launched in 2015. El Cosmico was created by David Seth Moltz and Kavi Moltz. Top notes are Pine and Pepper; middle notes are Khella, Creosote Bush and Oak; base notes are Khella and Sand.",https://www.fragrantica.com/perfume/DS-Durga/El-Cosmico-32535.html
Empress Jingu DS&Durgafor women and men,for women and men,5.0,1,"['woody', 'violet', 'aromatic', 'powdery', 'fresh spicy', 'floral']",['David Seth Moltz'],Empress JingubyDS&Durgais a Woody fragrance for women and men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Empress-Jingu-10234.html
Eve's Saint L'Orange DS&Durgafor men,for men,4.0,1,"['citrus', 'fresh', 'fresh spicy']","['David Seth Moltz', 'Kavi Moltz']",Eve's Saint L'OrangebyDS&Durgais a Citrus fragrance for men.Eve's Saint L'Orangewas launched in 2014. Eve's Saint L'Orange was created by David Seth Moltz and Kavi Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Eve-s-Saint-L-Orange-28856.html
First Light Five Boroughs DS&Durgafor women and men,for women and men,2.86,7,"['powdery', 'woody', 'violet', 'marine', 'citrus', 'green', 'floral', 'fresh']",['David Seth Moltz'],"First Light Five BoroughsbyDS&Durgais a Floral Woody Musk fragrance for women and men.First Light Five Boroughswas launched in 2020. The nose behind this fragrance is David Seth Moltz. Top notes are Driftwood, Citruses and Herbal Notes; middle notes are Violet, Heliotrope and Floral Notes; base notes are Powdery Notes and Musk.",https://www.fragrantica.com/perfume/DS-Durga/First-Light-Five-Boroughs-62132.html
Five Step Waltz DS&Durgafor women,for women,4.25,4,"['lavender', 'white floral', 'amber', 'rose', 'vanilla', 'floral', 'aromatic', 'powdery', 'fresh spicy', 'sweet']",['David Seth Moltz'],Five Step WaltzbyDS&Durgais a Amber Floral fragrance for women.Five Step Waltzwas launched in 2011. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Five-Step-Waltz-12009.html
Foxhunt DS&Durgafor women and men,for women and men,2.0,1,"['floral', 'patchouli', 'green', 'leather', 'woody', 'warm spicy', 'earthy', 'animalic', 'balsamic']",['David Seth Moltz'],FoxhuntbyDS&Durgais a Woody Aromatic fragrance for women and men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Foxhunt-10233.html
